time,sst,SOI
1981-09-01,,0.529
1981-10-01,-0.2991506,-0.332
1981-11-01,-0.2992401,0.22
1981-12-01,-0.20291522,0.388
1982-01-01,-0.08514309,0.832
1982-02-01,0.0051322086,0.01
1982-03-01,0.010465508,0.408
1982-04-01,0.2739362,-0.512
1982-05-01,0.56396663,-0.913
1982-06-01,0.63916624,-2.037
1982-07-01,0.7496152,-2.746
1982-08-01,0.9169183,-2.427
1982-09-01,1.4233615,-2.212
1982-10-01,1.7466359,-2.004
1982-11-01,2.095501,-3.05
1982-12-01,2.2202284,-1.99
1983-01-01,2.2242851,-2.796
1983-02-01,1.8992143,-2.522
1983-03-01,1.4340668,-2.166
1983-04-01,1.0722413,-1.103
1983-05-01,0.8163943,0.507
1983-06-01,0.4304101,-0.118
1983-07-01,0.0025799673,-0.677
1983-08-01,-0.33885738,-0.138
1983-09-01,-0.579014,0.975
1983-10-01,-0.8407325,0.396
1983-11-01,-1.0931655,-0.199
1983-12-01,-1.0785561,0.004
1984-01-01,-0.70981187,0.149
1984-02-01,-0.47327095,0.518
1984-03-01,-0.28795695,-0.443
1984-04-01,-0.44306883,0.434
1984-05-01,-0.6005107,0.151
1984-06-01,-0.6673825,-0.471
1984-07-01,-0.63772005,0.304
1984-08-01,-0.46243423,0.548
1984-09-01,-0.4929003,0.238
1984-10-01,-0.73455703,-0.381
1984-11-01,-1.0917597,0.106
1984-12-01,-1.2885569,-0.103
1985-01-01,-1.1827905,-0.253
1985-02-01,-0.9654193,1.174
1985-03-01,-0.87079704,0.29
1985-04-01,-0.8955094,0.898
1985-05-01,-0.93781126,0.268
1985-06-01,-0.83712476,-0.855
1985-07-01,-0.7063494,-0.485
1985-08-01,-0.6480571,1.026
1985-09-01,-0.6383987,-0.141
1985-10-01,-0.58615947,-0.276
1985-11-01,-0.503691,-0.128
1985-12-01,-0.5069497,0.142
1986-01-01,-0.6216601,0.826
1986-02-01,-0.621313,-0.968
1986-03-01,-0.52587235,0.672
1986-04-01,-0.41819295,0.465
1986-05-01,-0.30203205,-0.163
1986-06-01,-0.14507464,1.384
1986-07-01,0.095072046,0.568
1986-08-01,0.30426693,-0.203
1986-09-01,0.48662257,-0.488
1986-10-01,0.63295966,0.78
1986-11-01,0.78934073,-1.285
1986-12-01,0.92648596,-1.085
1987-01-01,0.9864415,-0.673
1987-02-01,1.0163125,-1.018
1987-03-01,0.8739359,-1.014
1987-04-01,0.73420495,-1.446
1987-05-01,0.70510304,-1.407
1987-06-01,0.8987009,-1.221
1987-07-01,1.1709176,-1.698
1987-08-01,1.3199633,-0.667
1987-09-01,1.2783451,-1.019
1987-10-01,1.182873,-0.114
1987-11-01,1.0024577,-0.08
1987-12-01,0.8889545,-0.353
1988-01-01,0.6396327,-0.238
1988-02-01,0.406488,-0.416
1988-03-01,0.013243715,0.153
1988-04-01,-0.5044496,-0.021
1988-05-01,-1.0899045,0.991
1988-06-01,-1.5002365,0.228
