time,month_x,sst,year_x,ElNiño,LaNiña,Neutral,year_y,month_y,precipitation,max_temp,min_temp
1981-09-01,9,,1981,,,,1981,9,0.0,29.55666666666667,16.416666666666668
1981-10-01,10,-0.2991506,1981,,,-0.2991506,1981,10,0.0,30.603225806451615,17.58709677419355
1981-11-01,11,-0.2992401,1981,,,-0.2992401,1981,11,0.0,30.826666666666664,17.916666666666668
1981-12-01,12,-0.20291522,1981,,,-0.20291522,1981,12,0.0,31.629032258064516,19.648387096774194
1982-01-01,1,-0.08514309,1982,,,-0.08514309,1982,1,0.0,31.700000000000003,20.932258064516127
1982-02-01,2,0.0051322086,1982,,,0.0051322086,1982,2,0.02142857142857143,32.11071428571429,21.917857142857144
1982-03-01,3,0.010465508,1982,,,0.010465508,1982,3,0.0,31.925806451612903,20.961290322580645
1982-04-01,4,0.2739362,1982,,,0.2739362,1982,4,0.03666666666666667,31.183333333333334,20.09333333333333
1982-05-01,5,0.56396663,1982,0.56396663,,,1982,5,0.0,30.261290322580646,19.203225806451613
1982-06-01,6,0.63916624,1982,0.63916624,,,1982,6,0.0,28.523333333333333,18.396666666666665
1982-07-01,7,0.7496152,1982,0.7496152,,,1982,7,0.0,28.25483870967742,17.90967741935484
1982-08-01,8,0.9169183,1982,0.9169183,,,1982,8,0.0,28.106451612903225,17.483870967741936
1982-09-01,9,1.4233615,1982,1.4233615,,,1982,9,0.03666666666666667,30.133333333333333,17.933333333333334
1982-10-01,10,1.7466359,1982,1.7466359,,,1982,10,0.08387096774193549,31.274193548387096,19.809677419354838
1982-11-01,11,2.095501,1982,2.095501,,,1982,11,0.07666666666666667,32.056666666666665,21.7
1982-12-01,12,2.2202284,1982,2.2202284,,,1982,12,0.7325806451612904,33.15806451612904,23.874193548387098
1983-01-01,1,2.2242851,1983,2.2242851,,,1983,1,10.35483870967742,32.00322580645162,24.241935483870968
1983-02-01,2,1.8992143,1983,1.8992143,,,1983,2,7.792857142857143,32.964285714285715,24.50357142857143
1983-03-01,3,1.4340668,1983,1.4340668,,,1983,3,16.129032258064516,32.8741935483871,24.096774193548388
1983-04-01,4,1.0722413,1983,1.0722413,,,1983,4,20.29,31.740000000000002,24.153333333333332
1983-05-01,5,0.8163943,1983,0.8163943,,,1983,5,14.790322580645162,31.432258064516127,24.532258064516128
1983-07-01,7,0.0025799673,1983,,,0.0025799673,1983,7,0.12903225806451613,30.141935483870967,21.40967741935484
1983-08-01,8,-0.33885738,1983,,,-0.33885738,1983,8,0.0,29.848387096774193,19.529032258064515
1983-09-01,9,-0.579014,1983,,-0.579014,,1983,9,0.0,30.220000000000002,18.793333333333333
1983-10-01,10,-0.8407325,1983,,-0.8407325,,1983,10,0.17419354838709677,30.338709677419356,19.538709677419355
1983-11-01,11,-1.0931655,1983,,-1.0931655,,1983,11,0.006666666666666667,31.30666666666667,19.526666666666664
1983-12-01,12,-1.0785561,1983,,-1.0785561,,1983,12,0.10064516129032257,32.42258064516129,21.0258064516129
1984-01-01,1,-0.70981187,1984,,-0.70981187,,1984,1,0.04838709677419355,33.90967741935484,21.029032258064515
1984-02-01,2,-0.47327095,1984,,,-0.47327095,1984,2,2.5037037037037035,34.074074074074076,22.985185185185188
1984-03-01,3,-0.28795695,1984,,,-0.28795695,1984,3,0.37741935483870964,33.303225806451614,22.067741935483873
1984-04-01,4,-0.44306883,1984,,,-0.44306883,1984,4,0.4703703703703703,33.181481481481484,21.12222222222222
1984-05-01,5,-0.6005107,1984,,-0.6005107,,1984,5,0.0,30.822580645161292,18.493548387096773
1984-06-01,6,-0.6673825,1984,,-0.6673825,,1984,6,0.006666666666666667,28.209999999999997,18.033333333333335
1984-07-01,7,-0.63772005,1984,,-0.63772005,,1984,7,0.02258064516129032,27.793548387096774,17.13225806451613
1984-08-01,8,-0.46243423,1984,,,-0.46243423,1984,8,0.1032258064516129,27.929032258064513,16.45806451612903
1984-09-01,9,-0.4929003,1984,,,-0.4929003,1984,9,0.030000000000000002,28.976666666666667,16.746666666666666
1984-10-01,10,-0.73455703,1984,,-0.73455703,,1984,10,0.00967741935483871,30.451612903225808,18.09032258064516
1984-11-01,11,-1.0917597,1984,,-1.0917597,,1984,11,0.02,30.259999999999998,17.203333333333333
1984-12-01,12,-1.2885569,1984,,-1.2885569,,1984,12,0.0,32.89677419354839,20.23225806451613
1985-01-01,1,-1.1827905,1985,,-1.1827905,,1985,1,0.009677419354838712,31.980645161290322,20.793548387096774
1985-02-01,2,-0.9654193,1985,,-0.9654193,,1985,2,0.0,34.270370370370365,21.692592592592593
1985-03-01,3,-0.87079704,1985,,-0.87079704,,1985,3,0.2318181818181818,33.41818181818182,21.072727272727274
1985-04-01,4,-0.8955094,1985,,-0.8955094,,1985,4,0.006666666666666667,31.883333333333333,19.69
1985-05-01,5,-0.93781126,1985,,-0.93781126,,1985,5,0.1032258064516129,28.53548387096774,17.03548387096774
1985-06-01,6,-0.83712476,1985,,-0.83712476,,1985,6,0.0,27.77,16.696666666666665
1985-07-01,7,-0.7063494,1985,,-0.7063494,,1985,7,0.0,26.19677419354839,16.09032258064516
1985-08-01,8,-0.6480571,1985,,-0.6480571,,1985,8,0.041935483870967745,27.55483870967742,15.470967741935485
1985-09-01,9,-0.6383987,1985,,-0.6383987,,1985,9,0.0,29.753333333333334,16.096666666666668
1985-10-01,10,-0.58615947,1985,,-0.58615947,,1985,10,0.02258064516129032,29.654838709677417,16.848387096774193
1985-11-01,11,-0.503691,1985,,-0.503691,,1985,11,0.0,31.14333333333333,16.483333333333334
1985-12-01,12,-0.5069497,1985,,-0.5069497,,1985,12,0.05806451612903226,31.62258064516129,19.19677419354839
1986-01-01,1,-0.6216601,1986,,-0.6216601,,1986,1,0.07419354838709677,31.761290322580646,21.93548387096774
1986-02-01,2,-0.621313,1986,,-0.621313,,1986,2,0.275,32.53214285714286,21.625
1986-03-01,3,-0.52587235,1986,,-0.52587235,,1986,3,0.04516129032258064,32.64193548387097,20.43548387096774
1986-04-01,4,-0.41819295,1986,,,-0.41819295,1986,4,0.4203333333333334,32.016666666666666,20.773333333333333
1986-05-01,5,-0.30203205,1986,,,-0.30203205,1986,5,0.06451612903225806,30.006451612903227,18.532258064516128
