,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
1997-03-31,1673.719970703125,1673.719970703125,1679.280029296875,1670.510009765625,1675.0899658203125,0.0,
1997-04-30,1758.77001953125,1758.77001953125,1761.31005859375,1747.449951171875,1750.969970703125,0.0,
1997-05-31,2128.389892578125,2128.389892578125,2132.219970703125,2043.22998046875,2051.64990234375,0.0,
1997-06-30,2155.010009765625,2155.010009765625,2175.60009765625,2154.8701171875,2174.669921875,0.0,
1997-07-31,2052.6201171875,2052.6201171875,2103.080078125,2052.5,2101.179931640625,0.0,
1997-08-31,1974.199951171875,1974.199951171875,1978.5,1968.6600341796875,1978.5,0.0,
1997-09-30,2008.030029296875,2008.030029296875,2015.3699951171875,2002.8800048828125,2009.9000244140625,0.0,
1997-10-31,1859.1400146484375,1859.1400146484375,1868.760009765625,1837.4100341796875,1865.47998046875,0.0,
1997-11-30,1780.5400390625,1780.5400390625,1785.510009765625,1768.97998046875,1772.0699462890625,0.0,
1997-12-31,1792.7099609375,1792.7099609375,1798.0799560546875,1782.9599609375,1787.8900146484375,0.0,
1998-01-31,1624.6500244140625,1624.6500244140625,1624.6500244140625,1598.4599609375,1613.280029296875,0.0,
1998-02-28,1585.780029296875,1585.780029296875,1586.050048828125,1561.8299560546875,1563.18994140625,0.0,
1998-03-31,1705.8399658203125,1705.8399658203125,1721.3399658203125,1702.56005859375,1720.1500244140625,0.0,
1998-04-30,1889.5,1889.5,1911.75,1885.4300537109375,1891.68994140625,0.0,
1998-05-31,1815.1199951171875,1815.1199951171875,1815.1199951171875,1797.449951171875,1798.0899658203125,0.0,
1998-06-30,1641.6400146484375,1641.6400146484375,1652.22998046875,1633.719970703125,1645.219970703125,0.0,
1998-07-31,1714.739990234375,1714.739990234375,1726.97998046875,1710.22998046875,1726.8800048828125,0.0,
1998-08-31,1265.530029296875,1265.530029296875,1304.4599609375,1256.010009765625,1304.4599609375,0.0,
1998-09-30,1246.93994140625,1246.93994140625,1270.56005859375,1238.3699951171875,1269.7900390625,0.0,
1998-10-31,1231.6199951171875,1231.6199951171875,1247.1700439453125,1230.5899658203125,1238.0899658203125,0.0,
1998-11-30,1581.5899658203125,1581.5899658203125,1595.3299560546875,1567.2099609375,1574.4300537109375,0.0,
1998-12-31,1335.8800048828125,1335.8800048828125,1339.8800048828125,1330.6800537109375,1336.06005859375,0.0,
1999-01-31,1320.550048828125,1320.550048828125,1322.06005859375,1299.199951171875,1301.93994140625,0.0,
1999-02-28,1417.949951171875,1417.949951171875,1418.6600341796875,1405.3199462890625,1408.3699951171875,0.0,
1999-03-31,1470.280029296875,1470.280029296875,1478.0,1454.6500244140625,1456.530029296875,0.0,
1999-04-30,1644.2900390625,1644.2900390625,1655.1199951171875,1633.9000244140625,1633.9000244140625,0.0,
1999-05-31,1647.449951171875,1647.449951171875,1648.449951171875,1631.52001953125,1637.530029296875,0.0,
1999-06-30,1670.4100341796875,1670.4100341796875,1671.7099609375,1653.0400390625,1653.0400390625,0.0,
1999-07-31,1649.5799560546875,1649.5799560546875,1652.489990234375,1642.9599609375,1642.9599609375,0.0,
1999-08-31,1653.5999755859375,1653.5999755859375,1661.0799560546875,1646.5,1648.5400390625,0.0,
1999-09-30,1854.6199951171875,1854.6199951171875,1858.1199951171875,1846.9300537109375,1849.4599609375,0.0,
1999-10-31,1793.739990234375,1793.739990234375,1794.75,1782.8199462890625,1782.8199462890625,0.0,
